bad_left,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1446,12694,8058,-268,496,160
-3352,13548,6850,-1097,-270,-240
-4544,11166,7836,-1563,-1286,-510
-2824,9626,8952,-781,-1113,-466
-1636,11426,8472,-7,-612,-281
-2622,12980,6108,-725,-675,-542
-4810,11608,8658,-1254,-1659,-918
-5026,10000,10002,-1433,-2173,-838
-3334,9358,9780,-828,-1985,-620
-2758,9902,8576,-229,-2040,-543
-2080,10472,8366,-200,-2189,-804
-2542,11324,7310,-553,-2217,-846
-2706,12144,7788,319,-1463,-604
-1720,14158,8662,722,-1062,-441
-1006,16386,10534,-511,-1134,-300
-1964,16932,11964,-249,-522,-196
-3374,18102,10066,223,-107,-139
-2956,16866,10098,105,-538,-57
-3676,16980,9732,531,-1491,119
-2274,17434,9142,565,-1451,217
-1030,16836,8848,651,-835,202
-1104,15426,9854,269,-188,300
-1862,16278,9676,964,127,534
-2514,15692,10508,381,-346,442
-2566,13440,11284,-55,-981,-20
-2760,13098,8896,251,-1403,204
-496,13446,13426,1003,-177,372
440,16892,8758,93,-949,198
-1344,14600,8636,92,-452,376
-2714,11412,8588,211,-99,147
-2432,8772,10464,1876,-716,498
-886,9786,7944,3204,-1674,77
-732,13846,6566,3240,-470,-317
-2068,14110,9506,3183,-55,-204
524,15372,7772,3606,-1838,-96
1044,15704,4784,3823,-941,27
-1494,15142,4582,3418,3,-12
-978,14572,5878,3169,-317,-126
-944,14202,5910,2731,-508,-193
-862,14296,4510,2499,-1002,-105
-312,14098,4054,2670,-206,-18
-880,13356,6138,2761,305,-3
-2890,13978,6272,3179,-84,57
-2440,14724,4480,3095,-1054,57
486,14410,5116,3271,-794,138
1084,15024,5406,3341,-287,203
-2228,14574,4816,2866,-541,349
-580,13822,4740,2944,-270,383
-106,14440,4074,3014,47,203
-3116,15366,4906,2780,-945,109
-1066,15236,4766,2296,-1220,-48
2088,15656,4378,2543,-479,-190
-1308,15308,4822,2314,-418,-37
-3908,15656,4772,2309,-1977,35
1564,15622,2930,2444,-1048,153
2608,14248,3016,2394,10,52
-1342,13870,5172,2182,-663,-179
-644,15676,830,1954,-680,-292
522,14732,4312,1739,236,-180
-964,14070,4900,1302,503,6
-2952,13768,6162,1215,-736,-322
-472,14930,5352,951,-1583,-629
-986,14830,2804,1539,-832,-101
616,13996,2910,885,-621,-264
2064,12966,3656,-550,-21,-841
-3982,14122,202,1281,112,-324
-3960,13770,4108,891,-338,-467
682,17962,-4184,1696,-1483,-1465
2600,17880,-2142,-182,355,-1573
-3694,16040,-3832,322,469,-1035
-2922,16004,-670,1309,464,-1086
2188,19322,-214,1740,362,-2707
4492,22352,-4438,-1078,-115,-3912
-2990,17500,4360,-1605,858,-3369
-5802,15214,-3222,-1282,2746,-3005
-4074,12004,1550,-996,4497,-3812
-2142,13820,2552,-703,4243,-5277
3808,13580,1508,-1779,5481,-5940
2142,10114,1150,-2151,8119,-5543
-2306,7102,-112,-1641,8670,-4852
-5478,4426,3514,-552,8744,-4748
-5682,4720,-2214,-329,9770,-4828
-8892,1744,1262,-877,7637,-4383
-9144,1436,2054,-708,6366,-3578
-4312,1982,-756,1151,2984,-3447
-8682,7904,-3442,220,1990,-2297
-12594,4696,584,-2034,-114,-767
-6902,1652,-1290,-2268,-2677,-278
-1202,378,-738,-1050,-3450,-63
258,-364,-1958,-817,-6128,230
552,934,-3140,-617,-7665,182
-2348,1066,2982,-376,-4182,322
-3912,-1430,3358,1116,-1807,1280
1256,-2312,-1002,3181,-3070,1385
3590,-542,-3194,2762,-5510,284
2632,1130,-5368,2311,-3707,-629
-5568,-1964,-6562,3991,-1982,254
-54,9494,-29796,5435,-2233,-1405
7026,15420,-6826,8781,-8614,-3059
18608,32767,-3208,520,293,-4600
11772,20510,-70,-7948,6609,-8294
8842,13144,-9864,-3782,12900,-6136
-9756,32767,-32768,-1943,10742,-7958
-32768,32767,6250,-7404,6326,-14667
-32768,32767,-5194,-4690,-9151,-13621
-32768,32767,11822,-5642,-8910,-21117
-32768,32767,16864,-4938,-6854,-25862
-27314,17748,32767,-6980,-1968,-29055
-18612,6252,14482,-9018,-5961,-25041
-13790,-3962,8472,-12450,4306,-18421
-16772,-17382,8094,-11044,7105,-14860
-22480,-26918,8222,-5498,6677,-4882
-29504,-17620,5062,-3297,3051,-3780
-25654,-5848,7222,-1224,342,-1506
-12944,-8980,3740,4082,-3790,771
-10114,-23588,-7546,829,-2784,-4028
-12090,-21258,266,-5606,27,-11727
-11762,-7964,3708,-5481,-390,-11356
-11836,-2224,8854,-3083,-506,-8406
-12188,-1836,3776,-1081,-3472,-4930
-9488,-5724,-776,-844,-2968,-2672
-7008,-11890,3168,578,-2232,-2075
-5874,-5344,-3624,-436,-2560,-1904
-6146,-9188,1488,-2169,-1579,-1608
-6850,-8018,654,-1236,-1007,-1167
-8672,-6580,522,-1076,-1222,-527
-8926,-8092,1422,-1686,-602,660
-10586,-9762,-720,-1559,-417,1568
-9576,-10352,252,-658,81,1696
-9292,-8974,3320,-961,704,1865
-7782,-6190,600,-1132,1501,2362
-9190,-6892,750,-1590,2007,3375
-10936,-10092,2644,-1415,2487,4069
-12122,-9530,312,-808,2466,4491
-11812,-7538,722,-1289,2899,4953
-12738,-7116,908,-1930,1630,5399
-14250,-7882,930,-1666,1290,6281
-10522,-7260,-3658,-1936,197,6806
-13644,-7558,-3246,-1044,775,8441
-13504,-6548,2964,-187,1348,10189
-11914,-3838,2374,663,291,11143
-13656,1774,-2832,-758,908,12884
-15432,-1742,-1788,-759,337,14060
-32768,-3134,3104,1705,-3456,13190
-32768,5616,-9018,4942,-4658,11328
-32768,5406,-1720,-3283,-4835,6903
-32232,5716,2984,-3583,-2163,5469
-15250,7982,224,-2215,-2350,5265
-5360,5560,-1814,-45,-2616,5871
-10006,3710,-562,2054,-761,7933
